"","Name","WAR","RAA.off","RAA.pitch","RAA.field","RAA.br"
"985","Trout",4.64,42.9,0,3.53,1.26
"353","Tulowitzki",3.9,34.42,0,4.6,-5.15
"724","Goldschmidt",3.3,32.08,0,0.92,4.52
"190","Hernandez, F",2.89,-0.73,30.63,-0.99,0
"482","Gordon, A",2.69,19.81,0,7.12,7.37
"588","Kershaw",2.67,2.32,24.29,0.11,-0.47
"125","Wainwright",2.67,3.95,22.71,0.06,-0.82
"598","Brantley",2.64,24.13,0,2.26,1.49
"829","Sale",2.61,0,25.83,0.27,0
"345","Lester",2.57,-0.32,26.84,-0.82,0
"1047","Seager",2.43,20.8,0,3.51,-0.66
"430","McCutchen",2.41,20.6,0,3.49,2.61
"836","Stanton",2.39,27.2,0,-3.35,6.4
"17","Werth",2.38,23.37,0,0.44,4.82
"491","Moss",2.37,19.89,0,3.78,1.12
"89","Cabrera, M",2.33,15.2,0,8.1,-0.96
"683","Chisenhall",2.32,25.01,0,-1.8,-0.83
"1156","Puig",2.31,21.46,0,1.61,3.58
"805","Mesoraco",2.24,22.47,0,-0.1,-3.77
"812","Norris, D",2.13,21.63,0,-0.32,-0.88
"800","Lucroy",2.09,19.7,0,1.24,3.36
"580","Betances",2.06,0,20.3,0.29,0
"12","Beltre, A",2.03,20.89,0,-0.56,-1.15
"174","Jones, Ad",2.01,18.54,0,1.61,2.8
"414","Pearce",1.98,14.26,0,5.52,0.85
"778","Donaldson",1.93,15.3,0,3.99,-0.09
"996","Abreu",1.92,15.51,0,3.73,-2.85
"60","Utley",1.9,15.71,0,3.27,3.51
"134","Cano",1.88,21.69,0,-2.87,2.27
"480","Braun",1.88,17.59,0,1.16,1.76
"228","Kinsler",1.83,13.56,0,4.69,6.94
"180","Kazmir",1.81,-0.92,18.67,0.29,0
"1044","Richards",1.8,-1.79,19.61,0.16,0
"1068","Keuchel",1.78,0.3,15.92,1.58,0
"688","Martinez, J",1.77,16.89,0,0.85,0.4
"370","Scherzer",1.77,-0.2,18.4,-0.53,0
"135","Encarnacion",1.76,15.15,0,2.46,-2.08
"488","Gomez, C",1.76,16.96,0,0.65,2.83
"59","Martinez, V",1.72,16.01,0,1.15,-8.04
"41","Buehrle",1.66,0,17.16,-0.53,0
"102","Crisp",1.65,16.09,0,0.43,2.17
"1059","Dickerson",1.64,20.11,0,-3.68,-0.66
"378","Arrieta",1.6,-1.24,17,0.22,-0.12
"278","Kluber",1.59,0.2,15.39,0.34,-0.02
"86","Morneau",1.58,13.89,0,1.86,-1.34
"947","Rendon",1.56,14.45,0,1.19,4.05
"173","Hamels",1.52,0.38,14.79,0.07,-1.36
"732","Darvish",1.52,-0.07,14.82,0.5,0
"992","Tanaka, M",1.5,-0.53,15.81,-0.28,0
"225","Kendrick, H",1.5,12.65,0,2.33,1
"1116","Gattis",1.49,15.32,0,-0.39,-0.78
"465","McGee",1.49,0,14.89,0,0
"412","Cueto",1.48,-1.93,15.88,0.88,-0.14
"342","Lind",1.48,17.87,0,-3.06,0.66
"96","Reyes",1.47,14.68,0,-0.02,5.53
"222","Duke",1.46,-0.11,14.59,0.08,0
"35","Rollins",1.44,13.44,0,0.94,-0.06
"873","Ozuna",1.43,6.09,0,8.21,1.64
"239","Desmond",1.42,16.12,0,-1.93,0.89
"358","Miller, A",1.41,0,13.54,0.54,0
"383","Frazier",1.41,11.03,0,3.04,3.38
"237","Suzuki, K",1.38,13.21,0,0.58,-5.43
"907","Gillaspie",1.37,14.49,0,-0.83,1.05
"243","Cruz, N",1.36,13.29,0,0.33,-3.78
"727","O'Day",1.36,0,12.97,0.6,0
"823","Rizzo",1.35,15.44,0,-1.92,-0.03
"1060","Dozier",1.35,8.52,0,4.99,2.7
"128","Greinke",1.35,0.19,11.83,1.46,-0.89
"352","Ellsbury",1.32,9.86,0,3.37,2.16
"166","Bautista",1.32,14.88,0,-1.71,-0.31
"763","Bumgarner",1.29,6.39,6.36,0.18,-0.7
"911","Gray, S",1.29,-0.27,12.21,0.95,0
"329","Davis, W",1.27,0,13.18,-0.47,0
"44","Hamilton",1.26,11.94,0,0.68,-0.44
"961","Springer",1.26,15.08,0,-2.48,0.07
"196","Howell",1.25,0,12.49,-0.04,0
"9","Ortiz, D",1.23,12.57,0,-0.32,-4.53
"217","Sanchez, An",1.22,0.83,10.91,0.47,0.02
"313","Neshek",1.22,0,11.65,0.53,0
"747","Castro, S",1.21,10.97,0,1.15,-0.06
"1123","Kiermaier",1.21,10.03,0,2.07,0.22
"366","Watson",1.2,0.96,11.08,0,0
"993","Ryu",1.19,-0.35,11.18,1.07,-0.19
"400","Price",1.18,-0.22,12.93,-0.91,0
"549","Abad",1.18,0,10.9,0.88,0
"466","Saunders, M",1.18,6.95,0,4.8,2.2
"208","Pagan",1.17,6.56,0,5.16,0.81
"670","Davis, Kh",1.16,5.02,0,6.56,1.06
"175","Aybar",1.15,12.49,0,-0.97,0.53
"106","Peralta, Jh",1.15,4.17,0,7.3,-2.4
"694","Britton",1.13,0,10.57,0.73,0
"216","Ramirez, H",1.13,16.68,0,-5.39,2.73
"386","Broxton, J",1.13,0,10.51,0.77,0
"1021","Gennett",1.13,14.54,0,-3.27,1.9
"635","Cespedes",1.11,8.08,0,3.06,3.49
"633","Uehara",1.11,0,11.15,-0.02,0
"524","Cabrera, Me",1.1,12.17,0,-1.16,-0.54
"963","Gordon, D",1.1,10.99,0,0.02,2.91
"831","Smith, W",1.09,0,11.01,-0.08,0
"894","Crawford, B",1.09,10.93,0,-0.07,3.37
"817","Porcello",1.08,-0.17,10.86,0.15,0
"189","Casilla, S",1.08,0.05,11.04,-0.33,0
"991","Iwakuma",1.07,0.43,9.59,0.69,0.13
"1114","Eaton",1.07,11.26,0,-0.59,1.78
"379","Blackmon",1.05,7.74,0,2.78,-5
"647","Quintana",1.05,-0.32,10.58,0.22,0
"436","Turner, J",1.04,7.87,0,2.58,1.65
"1111","Calhoun",1.04,9.43,0,1,1.56
"1105","Yelich",1.03,8.28,0,2.01,0.21
"244","Jaso",1.02,9.84,0,0.36,1.74
"49","Affeldt",1.01,0,8.29,1.83,0
"361","Stubbs",1.01,10.53,0,-0.47,1.02
"343","Pence",1,15.6,0,-5.55,5.74
"553","Putnam",1,0,10.27,-0.23,0
"741","Altuve",1,6.77,0,3.27,1.02
"542","Montero, M",1,10.6,0,-0.62,0.29
"340","Smith, S",0.99,12.91,0,-2.96,1.52
"306","Papelbon",0.99,0,10.1,-0.22,0
"433","Upton, J",0.97,6.97,0,2.74,1.35
"267","Chavez, J",0.97,-0.58,11.32,-1.03,0
"861","Teheran",0.97,-0.13,9.92,-0.11,-0.07
"1080","Allen",0.96,0,9.67,-0.03,0
"235","Walker",0.96,11.75,0,-2.15,0.69
"296","Doolittle",0.96,-0.07,9.81,-0.15,0
"1024","Hamilton, B",0.96,8.06,0,1.51,2.91
"317","Vargas",0.95,0,9.01,0.54,0
"318","Weaver",0.95,-0.29,9.3,0.54,0
"58","Soriano, R",0.94,0,9.48,-0.11,0
"388","Iannetta",0.92,9.94,0,-0.7,-0.22
"179","Martin, R",0.92,8.53,0,0.69,2.08
"994","Chapman",0.92,0,9.17,0,0
"344","Span",0.91,5.89,0,3.21,5.74
"685","Robertson, D",0.91,0,9.09,0.01,0
"1089","Kahnle",0.91,-0.16,8.93,0.3,0
"474","Varvaro",0.91,0,9.08,-0.03,0
"791","Holland, G",0.9,0,9.32,-0.28,0
"1149","Wacha",0.9,-0.09,9.04,0.08,0.37
"932","Lyles",0.9,2.46,5.53,1.01,-0.31
"780","Freeman, F",0.9,8.78,0,0.2,4.2
"1130","Asche",0.9,7.53,0,1.43,2.2
"1112","deGrom",0.89,1.82,6.84,0.22,0.08
"876","Santana, D",0.88,9.03,0,-0.21,0.53
"293","Jepsen",0.88,0,8.85,-0.09,0
"1034","Loup",0.87,0,7.07,1.59,0
"218","Street",0.85,0,8.29,0.17,0
"668","Chamberlain",0.84,0,8.19,0.17,0
"1058","Carpenter, M",0.84,11.15,0,-2.79,0.53
"124","Atchison",0.83,0,7.78,0.5,0
"193","League",0.83,-0.04,8.1,0.21,0
"66","Holliday",0.82,8.85,0,-0.65,-1.38
"970","Wong",0.81,5.97,0,2.15,2.56
"795","Kimbrel",0.81,0,8.11,-0.02,0
"525","Machi",0.8,-0.28,8.55,-0.3,-0.12
"38","Beckett",0.8,1.81,5.81,0.33,-0.02
"74","Rodney",0.79,0,8.05,-0.14,0
"1043","Pollock",0.78,7.7,0,0.15,-0.74
"975","Familia",0.78,0.38,7.86,-0.39,0.01
