tab=\t
return=\r
newline=\n
:alpha	α
:approx	≈
:beta	β
:cap	∩
:chi	χ
:cup	∪
:Delta	Δ
:delta	δ
:eps	ϵ
:eta	η
:exists	∃
:forall	∀
:Gamma	Γ
:gamma	γ
:geq	≥
:grad	∇
:hata	â
:hatb	b̂
:hatc	ĉ
:hatd	d̂
:hate	ê
:hatf	f̂
:hatg	ĝ
:hath	ĥ
:hati	î
:hatj	ĵ
:hatk	k̂
:hatl	l̂
:hatm	m̂
:hatn	n̂
:hato	ô
:hatp	p̂
:hatq	q̂
:hatr	r̂
:hats	ŝ
:hatt	t̂
:hatu	û
:hatv	v̂
:hatw	ŵ
:hatx	x̂
:haty	ŷ
:hatz	ẑ
:hbeta	𝛽̂ 
:heta	𝜂̂
:hsigma	𝜎̂
:htheta	𝜃̂
:infty	∞
:inside	∈
:int	∫
:kappa	κ
:Lambda	Λ
:lambda	λ
:langle	⟨
:Leftarrow	⇐
:Leftrightarrow	⇔
:leq	≤
:mu	μ
:nabla	∇
:nu	ν
:Omega	Ω
:omega	ω
:oplus	⊕
:otimes	⊗
:partial	𝜕
:perp	⟂
:Phi	Φ
:phi	ϕ
:Pi	Π
:pi	π
:pm	±
:propto	∝
:Psi	Ψ
:psi	ψ
:rangle	⟩
:rho	ρ
:Rightarrow	⇒
:sfield	σ-field
:Sigma	Σ
:sigma	σ
:sqrt	√
:sub0	₀
:sub1	₁
:sup2	²
:sup3	³
:tau	τ
:Theta	Θ
:theta	θ
:times	×
:to	→
:ups	υ
:Ups	Υ
:vareps	ε
:varphi	φ
:xbar	𝑥̄
:Xi	Ξ
:xi	ξ
:Zeta	Z
:zeta	ζ
